Karlite, 5+1⁄2, 2.80-2.85
Kasolite, 4 - 5, 5.83 - 6.5
Kassite (mineral), 5, 3.42
Katayamalite, 3.5 - 4, None
Kazakovite, 4, 2.84
Kegelite, no data, 4.5
Kenhsuite, 2-3, None
Kermesite, 1–2, 4.5–4.8+
Kernite, 2.5-3, 1.9 - 1.92
Kesterite, 4.5, 4.54–4.59 (meas.); 4.524 (calc.)
Keyite, 3.5 - 4, None
Khatyrkite, 5–6, 4.42 (calculated)
Kidwellite, 3, 3.04 - 3.3
Kieserite, 3.5, 2.57
Kinoite, 2+1⁄2, 3.13 - 3.19
Kleinite, 3.5, 7.9-8.0
Knorringite, 6 - 7, 3.756
Kochite, 5, 3.32
Kogarkoite, 3.5, 2.66
Kornerupine, 6 to 7, 3.29 - 3.35
Kosmochlor, 6, 3.51-3.60
Kostovite, 2 - 2.5, 7.94
Köttigite, 2+1⁄2 to 3, 3.33
Kovdorskite, 4, 2.28 (measured), 2.30 (calculated)
Krennerite, 2.5, 8.62
Krieselite, 5+1⁄2 - 6+1⁄2, None
Kröhnkite, 2.5 – 3.0, 2.92
Krotite, 6.5, 2.94
Krut'aite, 4, 6.53 (calculated)
Krutovite, 5.5, 7.08–7.12 calculated
Kurnakovite, 2+1⁄2 - 3, 1.847 - 1.852
Kutnohorite, 3.5–4, 3.12
Kyanite, 4.5-5 parallel to one axis  6.5-7 perpendicular to that axis, 3.53 - 3.65 measured; 3.67 calculated
Spodumene, 6.5–7, 3.03–3.23
Langite, 2.5  to 3, 3.28[3] 3.48 to 3.5[2] 3.5[4] 2.28 to 3.34[5]
Legrandite, 4.5-5, 3.98–4.01
Fluor-liddicoatite, 7+1⁄2, 3.02
Labradorite, 6–6.5, 2.68 to 2.72
Langbeinite, 3.5 - 4, 2.83
Langite, 2.5  to 3, 3.28[3] 3.48 to 3.5[2] 3.5[4] 2.28 to 3.34[5]
Lansfordite, 2.5, 1.6
Lanthanite, 2.5, None
Laplandite-(Ce), 2-3, 2.71
Larnite, 6, 3.28–3.33
Laumontite, 4, None
Laurionite, 3 - 3.5, 6.241
Laurite, 7.5, 6.43
Lautenthalite, 2.5, 3.84
Lavendulan, 2+1⁄2[3][4][5] 2+1⁄2 to 3[1], 3.54[3][4][5] 3.84[1]
Lawsonite, 7.5, = 3.05 - 3.12
Lazulite, 5.5 - 6.0, 3.122 – 3.240
Lazurite, 5–5.5, 2.38–2.45
Lead, 1.5, None
Leadhillite, 2+1⁄2 to 3, 6.55
Legrandite, 4.5-5, 3.98–4.01
Leifite, 6, 2.6
Leightonite, 3, 2.95
Lepidocrocite, 5, 4
Lepidolite, 2.5–3, 2.8–2.9
Letovicite, 1-2, 1.83
Leucite, 5.5 - 6, 2.45-2.50
Leucophoenicite, 5.5 to 6, None
Libethenite, 4, 3.6 - 4, Average = 3.8
Liebigite, 2+1⁄2 - 3, 2.41
Linarite, 2.5, 5.3 - 5.5
Lindgrenite, 4.5, 4.2
Linnaeite, 4.5-5.5, 4.8-5.8
Liroconite, 2-2+1⁄2, 2.9 - 3
Litharge, 2, None
Lithiophilite, 4–5, 3.445–3.50
Livingstonite, 2, 4.8 - 4.88 meas. 4.98 calc.
Lizardite, 2.5, 2.55
Loellingite, 5-5.5, 7.1-7.5
Lonsdaleite, 7–8 (for impure specimens), 3.2
Loparite-(Ce), 5.5 - 6.0, 4.60-4.89
Lópezite, 2+1⁄2, 2.69
Lorándite, 2.0–2.5, 5.53
Lorenzenite, 6, 3.42 - 3.45
Loveringite, 7.5, 4.41
Ludlamite, 3.5, 3.12–3.19
Ludwigite, 5.5, 3.6 - 3.8
Lulzacite, 5.5–6, 3.55
Larimar, 4.5 - 5, 2.84 - 2.90
Pectolite, 4.5 - 5, 2.84 - 2.90
Calcite, 3 (defining mineral), 2.71
Magnetite, 5.5–6.5, 5.17–5.18
Manganite, 4, 4.29–4.34
Mesolite, 5, 2.26
Mimetite, 3.5 - 4, 7.1 - 7.24
Macdonaldite, 3.5-4.0, 2.27
Mackinawite, 2.5, 4.17
Madocite, 3.25, 5.98
Magadiite, 2, 2.25 calculated
Maghemite, 5, 4.860 (calculated)
Magnesioferrite, 6 - 6.5, 4.55 – 4.65 measured
Magnesiohastingsite, 5 to 6, 3.16 to 3.22
Magnesiopascoite, 2.5, None
Magnesite, 3.5 – 4.5, 3.0 – 3.2
Magnetite, 5.5–6.5, 5.17–5.18
Majorite, 7-7.5, Measured at about 4; 3.51 (calculated for pure MgSiO3)
Malachite, 3.5–4, 3.6–4
Malayaite, 3.5 - 4, 4.3 - 4.55
Manganite, 4, 4.29–4.34
Manganophyllite, 2.5 - 3, None
Manganosite, 5 - 6, 5.364
Manganvesuvianite, 6 to 7, None
Mansfieldite, 3.5 - 4, 3.03
Marcasite, 6–6.5, 4.875 calculated, 4.887 measured
Margarite, 4, None
Marialite, 5+1⁄2–6, 2.55–2.74
Maricite, 4 - 4.5, 3.66
Marrite, 3, 5.82
Marthozite, 6, 4.44
Mascagnite, 2 - 2+1⁄2, None
Massicot, 2, 9.642 calculated
Mathesiusite, 2, 4.02 (calculated)
Matlockite, 2.5 - 3, 7.1 - 7.2
Maucherite, 4.5-5.5, 6.9-7.3
Mawsonite, 3.5-4, 4.65 (calculated)
Mckelveyite-(Y), 3.5–4, 3.25
Meionite, 5 - 6, 2.74 - 2.78
Melanophlogite, 6.5–7, 1.99–2.11, average = 2.04
Melanterite, 2, 1.89 - 1.9
Melilite, 5 – 5.5, 2.9–3.0
Mellite, 2-2+1⁄2, 1.64
Melonite, 1–1.5, 7.72
Mendipite, 2+1⁄2 to 3, 7.24[4][6][2]
Mendozite, 3, None
Meneghinite, 2+1⁄2, 6.36
Mereheadite, 3+1⁄2, None
Merenskyite, 3.5, 8.547
Mesolite, 5, 2.26
Messelite, 3.5, 3.16[2]
Metacinnabar, 3, 7.7 - 7.8
Metatorbernite, 2.5, 3.7-3.8
Metazeunerite, 2-2.5, 3.87
Miargyrite, 2-2+1⁄2, 5.2
Mica, 2.5–4 (lepidolite); 2.5–3 (biotite); 2.5–3 (phlogopite); 2–2.5 (muscovite), 2.8–3.0
Microcline, 6-6.5, 2.5-2.6
Miguelromeroite, 4, None
Millerite, 3 - 3.5, 5.3 - 5.5
Millosevichite, 1.5, 1.72 measured
Mimetite, 3.5 - 4, 7.1 - 7.24
Minium (mineral), 2.5, 8.9 - 9.2
Minnesotaite, 1.5 - 2, 3.01
Minyulite, 3.5, 2.45
Mirabilite, 1.5–2, 1.49
Mixite, 3-4, 3.79-3.83
Moganite, 6, None
Mohite, 4, 4.86 (calculated)
Moissanite, 9.25, 3.218–3.22
Molybdenite, 1–1.5, 4.73
Molybdite, 3 - 4, 4.72
Monazite, 5.0–5.5, 4.6–5.7 (4.98–5.43 for monazite-Ce)
Monticellite, 5.5, 3.05 – 3.27
Montmorillonite, 1–2, 2-3
Mooihoekite, 4, 4.36
Moschellandsbergite, 3.5, 13.48
Mosesite, 3.5, None
Mottramite, 3 - 3+1⁄2, 5.9
Motukoreaite, 1–1.5, 1.43–1.53
Muscovite, 2–2.5 parallel to {001} 4 right angle to {001}, 2.76–3
Musgravite, 8–8.5, 3.62–3.68
Periclase, 6, 3.56–3.68 (meas.) 3.58 (calc.)
Diopside, 5.5 - 6.5, 3.278
Columbite, 6, 5.3–7.3, Average = 6.3
Tantalite, 6-6.5, 8.0+
Sepiolite, 2, 2; dry porous masses float on water
Andradite, 6.5 to 7, 3.859 calculated; 3.8–3.9 measured
Quartz, 7 – lower in impure varieties (defining mineral), 2.65; variable 2.59–2.63 in impure varieties
Morganite (gem), 7.5 to 8, None
Natrolite, 5-6, 2.25
Neptunite, 5-6, 3.19 - 3.23
Nabalamprophyllite, 3, None
Nabesite, 5-6, 2.16
Nadorite, 3+1⁄2 - 4, None
Nagyágite, 1.5, 7.35–7.49
Nahcolite, 2.5, 2.21
Naldrettite, 4-5, None
Nambulite, 6.5, 3.51
Narsarsukite, 5.5 - 7, 2.64-2.83
Natrolite, 5-6, 2.25
Natron, 1 - 1.5, 1.478
Natrophilite, 4+1⁄2 - 5, 3.41 g/cm3
Nelenite, 5, 3.46
Nenadkevichite, 5, 2.78 - 2.885 g/cm3
Nepheline, 6, 2.55–2.65 (average: 2.59)
Népouite, 2 to 2+1⁄2, 3.18 to 3.24 (measured)
Neptunite, 5-6, 3.19 - 3.23
Nichromite, 6-6+1⁄2, 5.10
Nickel, 4.0, None
Nickeline, 5 - 5.5, 7.8
Niningerite, 3+1⁄2 - 4, None
Niter, 2, 2.10 (calc.)
Nitratine, 1.5 - 2, 2.26
Nontronite, 1.5 to 2, 2.3
Norbergite, 6-6.5, 3.177
Normandite, 5 - 6, 3.48 - 3.5
Northupite, 3+1⁄2 - 4, 2.380–2.407
Nephrite, 6 – 6.5[1], 2.95 (+.15, -.05)[1]
Columbite, 6, 5.3–7.3, Average = 6.3
Columbite, 6, 5.3–7.3, Average = 6.3
Opal, 5.5–6[2], 2.15+0.08−0.90[2]
Okenite, 4+1⁄2-5, 2.28 - 2.33
Oldhamite, 4, 2.58
Olivenite, 3, 4.46
Olivine, 6.5–7, 3.2–4.5[2][3][4][5]
Olmiite, 5 - 5.5, 3.05
Omphacite, 5-6, 3.16-3.43
Oneillite, 5-6, None
Oosterboschite, 5, None
Oppenheimerite, 2.5, None
Ordoñezite, 6.5, 6.635
Oregonite, 5, None
Orpiment, 1.5–2, 3.49
Orthoclase, 6 (defining mineral), 2.55–2.63
Osarizawaite, 3 - 4, 3.89 - 4.037
Osmium, 7.0, None
Osumilite, 5 - 6, 2.62 - 2.64
Ottrelite, 6-7, 3.50
Otwayite, 4, 3.41
Oligoclase, 6 to 6.5, 2.64 to 2.66
Onyx, 6.5–7, 2.55–2.70
Chrysotile, 2.5–3, None
Pectolite, 4.5 - 5, 2.84 - 2.90
Phosphophyllite, 3.5, 3.1
Pyrrhotite, 3.5 – 4.5, 4.58 – 4.65, average = 4.61
Pääkkönenite, 2.5, None
Pabstite, 6, 4.03
Painite, 7.5 - 8, 4.01
Palladium, 4.75, None
Palygorskite, 2 - 2.5, 1 - 2.6
Papagoite, 5–5.5, 3.25
Paragonite, 2.5 - 3, 2.78
Paralaurionite, 3, 6.05–6.15
Paramelaconite, 4.5, 6.04–6.11 (measured)
Pararealgar, 1 – 1.5, 3.52
Paravauxite, 3, 2.36
Pargasite, 5–6, 3.04–3.17
Parisite-(Ce), 4+1⁄2, 4.34
Parsonsite, 2.5-3, 5.37
Parthéite, 4, 2.39 - 2.45
Pascoite, 2.5, None
Patrónite, 2, 2.82
Paulingite, 5, 2.085 - 2.24
Paulscherrerite, Undetermined, 6.66 g/cm3
Pearceite, 3, 6.15
Pecoraite, 2.5-3, 3.084
Pectolite, 4.5 - 5, 2.84 - 2.90
Penfieldite, 3-4, 6.00
Penroseite, 2.5 - 3, 6.58-6.74
Pentagonite, 3 - 4, 2.33
Pentlandite, 3.5–4, 4.6–5.0
Perhamite, 5, 2.53
Periclase, 6, 3.56–3.68 (meas.) 3.58 (calc.)
Perite, 3, 8.16
Perovskite, 5–5.5, 3.98–4.26
Petalite, 6 – 6.5, 2.4
Petzite, 2.5 - 3, 8.7 - 9.14
Pezzottaite, 8, 3.10
Pharmacolite, 2 - 2.5, 2.53 – 2.725
Pharmacosiderite, 2.5, None
Phenakite, 7.5 – 8, 2.93 – 3.00
Phillipsite, 4 - 4.5, 2.2
Phlogopite, 2–2.5, 2.78–2.85
Phoenicochroite, 2+1⁄2, 5.75,[2] 7.01[3]
Phosgenite, 2 – 3, 6.12 – 6.15
Phosphophyllite, 3.5, 3.1
Phosphosiderite, 3.5–4, 2.74-2.76
Pickeringite, 1.5, 1.73–1.79
Picropharmacolite, 1 to 2, 2.58 - 2.60
Piemontite, 6 - 6.5, None
Pigeonite, 6, 3.17 - 3.46 measured
Pinnoite, 3.5, 2.27
Piypite, 2.5, 3.0 - 3.1
Plagioclase, 6–6.5, 2.62 (albite) to 2.76 (anorthite)[2]
Plancheite, 5.5 to 6, 3.6 to 3.8
Platinum, 3.5, None
Plattnerite, 5.5, 8.5–9.63, average = 9.06
Playfairite, 3.5-4, 5.72
Plumbogummite, 4 to 5 [2][3] or 4.5 to 5[4][5], 4.014
Polarite, 3.5 - 4, 12.51
Pollucite, 6.5 to 7, 2.7 to 3.0
Polybasite, 1.5-2, 6-6.2
Polycrase, 5-6, 5
Polydymite, 4.5 – 5.5, 4.5 – 4.8
Polyhalite, 3.5, 2.78
Portlandite, 2, 2.23
Posnjakite, 2  to 3, None
Poudretteite, 5, 2.51
Povondraite, 7, None
Powellite, 3.5-4, 4.25
Prehnite, 6 - 6.5, 2.8 - 2.95
Proustite, 2 – 2.5, 5.57 measured, 5.625 calculated
Pseudobrookite, 6, 4.33–4.39
Pseudomalachite, 4.5-5, (Measured) 4.15 to 4.35
Pumpellyite, 5.5-6, 3.2
Purpurite, 4-5, 3.2 - 3.4
Putnisite, 1.5-2, 2.20
Pyrargyrite, 2.5, 5.82
Pyrite, 6–6.5, 4.95–5.10
Pyrochlore, 5.0–5.5, 4.45 to 4.90
Pyrolusite, 6–6.5, 2 when massive, 4.4–5.06
Pyromorphite, 3.5-4, 7.04 measured, 7.14 calculated
Pyrope, 7 – 7.5, 3.78 (+.09 -.16) [3]
Pyrophanite, 5–6, 4.537 measured
Pyrophyllite, 1.5-2, 2.65 - 2.9
Pyroxferroite, 4.5–5.5, 3.68–3.76 g/cm3 (measured)
Pyroxmangite, 5+1⁄2 – 6, 3.8
Pyrrhotite, 3.5 – 4.5, 4.58 – 4.65, average = 4.61
Chrysotile, 2.5–3, None
Peridot, 6.5–7, 3.2–4.3
Pimelite, 2 to 2+1⁄2, 2.23 to 2.98
Uraninite, 5–6, 10.63–10.95; decreases on oxidation
Kamacite, 4, 7.9
Taenite, 5-5.5, 7.8–8.22
Alum-(K), 2-2.5, 1.757
Quartz, 7 – lower in impure varieties (defining mineral), 2.65; variable 2.59–2.63 in impure varieties
Quartz, 7 – lower in impure varieties (defining mineral), 2.65; variable 2.59–2.63 in impure varieties
Quetzalcoatlite, 3, 6.05 (measured)
Quintinite, 2, 2.14
Ruby, 9.0, 3.97–4.05
Quartz, 7 – lower in impure varieties (defining mineral), 2.65; variable 2.59–2.63 in impure varieties
Rakovanite, 1, 2.407 (calculated)
Rambergite, 4, None
Rammelsbergite, 5.5-6, 7.0-7.1
Rapidcreekite, 2, 2.239 (calculated)
Raslakite, 5, 2.95 (measured)
Raspite, 2.5-3, None
Rastsvetaevite, 5-6, 2.86
Realgar, 1.5–2, 3.56
Reedmergnerite, 6 - 6.5, None
Reidite, 7.5, 5.16
Reinerite, 5 - 5.5, 4.27
Renierite, 4.5, 4.4
Rhodium, 6.0, None
Rhodochrosite, 3.5–4, 3.7
Rhodonite, 5.5–6.5, 3.57–3.76
Richterite, 5-6, 3.0-3.5
Rickardite, 3+1⁄2, None
Riebeckite, 6, 3.28–3.44
Roaldite, 5.5-6.5, 7.21
Robertsite, 3+1⁄2, 3.13 - 3.17
Rodalquilarite, 2 - 3, 4.97 - 5.15
Romanèchite, 6-6.5, None
Romeite, 5.5–6.0, None
Rosasite, 4, 4-4.2
Roscoelite, 1, 2.92 - 2.96
Roselite, 3.5, 3.69
Rosenbergite, 3–3.5, None
Rosickýite, 2 - 3, 2.07
Routhierite, 3.5, None
Rozenite, 2 - 3, 2.29
Ruizite, 5, None
Russellite (mineral), 3.5, 7.33 - 7.37
Ruthenium, 6.5, None
Rutile, 6.0–6.5, 4.23 increasing with Nb–Ta content
Rhodolite, 7–7.5, 3.84 (+/− .10)
Quartz, 7 – lower in impure varieties (defining mineral), 2.65; variable 2.59–2.63 in impure varieties
Quartz, 7 – lower in impure varieties (defining mineral), 2.65; variable 2.59–2.63 in impure varieties
Ruby, 9.0, 3.97–4.05
Scolecite, 5 to 5+1⁄2, 2.16 to 2.40
Selenite (mineral), 2, 2.9
Serandite, 5 to 5.5, None
Shattuckite, 3.5, 4.1 (rather heavy for a non-metallic mineral)
Stannite, 4, 4.3 - 4.5
Sabatierite, 2.5, None
Sacrofanite, 5+1⁄2 - 6, 2.423
Safflorite, 4.5-5.5, 6.9-7.3
Salammoniac, 1–2, 1.535
Saliotite, 2 - 3, 2.75
Samarskite-(Y), 5 - 6, None
Sampleite, 4, 3.2
Samsonite (mineral), 2+1⁄2, 5.461 (calculated)
Samuelsonite, 5, 3.353
Sanbornite, 5, 3.74
Sanidine, 6, 2.52
Santabarbaraite, Not determined, 2.24
Saponite, 1.5, 2.24 - 2.30
Sapphirine, 7.5, 3.40–3.58
Sarabauite, 4, 4.8
Sarcolite, 6, 2.91 - 2.96
Sarkinite, 4–5[1], None
Sassolite, 1, 1.46-1.50
Satterlyite, 4.5-5, 3.68
Sauconite, 1 - 2, 2.45
Schäferite, 5, None
Scheelite, 4.5–5, 5.9–6.1
Schizolite, 5.5, None
Schoepite, 2.5, 4.8
Tourmaline, 7.0–7.5, 3.06+0.20−0.06[1]
Schreibersite, 6.5–7, 7.0–7.3
Schreyerite, 7, None
Scolecite, 5 to 5+1⁄2, 2.16 to 2.40
Scorodite, 3.5-4, None
Scorzalite, 6, 3.33
Scotlandite, 2, None
Seamanite, 4[1], 3.08[1]
Searlesite, 1-2, None
Sekaninaite, 7 - 7.5, 2.76 - 2.77
Selenium, 2.0, None
Seligmannite, 3, None
Sellaite, 5–5.5, 3.15
Semseyite, 2.5, 6.15
Sengierite, 2.5, 4.05
Sepiolite, 2, 2; dry porous masses float on water
Serandite, 5 to 5.5, None
Serendibite, 6.5 - 7, 3.42 - 3.52 (measured) 3.47 (calculated)
Serpentine subgroup, 3.5–4 (antigorite); 2.5 (lizardite); 2.5–3 (chrysotile), 2.2-2.9
Sewardite, 3.5, 4.16
Shandite, 4, 8.72
Shattuckite, 3.5, 4.1 (rather heavy for a non-metallic mineral)
Shigaite, 2[5], 2.32[4]
Shortite, 3, 2.6
Siderite, 3.75 - 4.25, 3.96
Siderophyllite, 2.5, 3
Siderotil, 2.5, 2.1 - 2.2
Siegenite, 4.5 - 5.5, None
Silicon, 6.5, None
Sillimanite, 7, 3.24
Silver, 2.5, None
Simpsonite, 7-7.5, 6.7
Sincosite, 1 - 2, None
Sinkankasite, 4, None
Skaergaardite, 4 to 5, 10.64
Sklodowskite, 2 - 3, None
Skutterudite, 5.5 - 6, 6.5
Smithsonite, 4.5, 4.4 - 4.5
Sodalite, 5.5-6, 2.27-2.33
Soddyite, 3 - 4, None
Sonolite, 5.5, None
Sperrylite, 6 - 7, 10.58
Spertiniite, Soft, 3.93
Spessartine, 6.5 – 7.5, 4.19 calculated, 4.12 – 4.32 measured
Sphalerite, 3.5–4, 3.9–4.2
Spherocobaltite, 4, 4.13
Spinel, 7.5–8.0, (Depending on the composition) The rare Zn-rich spinel can be as high as 4.40, otherwise it averages from 3.58 to 3.61.
Spodumene, 6.5–7, 3.03–3.23
Spurrite, 5, 3
Stannite, 4, 4.3 - 4.5
Stannoidite, 4, 4.29
Staurolite, 7 - 7.5, 3.74 - 3.83 meas. 3.686 calc.
Steacyite, 5, None
Stellerite, 4.5, approximately 2.2
Stephanite, 2.0 - 2.5, 6.26
Stercorite, 2, None
Stibarsen, 3–4, 5.8–6.2 (meas.); 6.37 (calc.)
Stibiconite, 4-5, 4.1 - 5.8, Average = 4.94
Stibiopalladinite, 4 - 5, None
Stibnite, 2, 4.63
Stichtite, 1.5 - 2, 2.16
Stilbite, 3+1⁄2 to 4, 2.12 to 2.22
Stilleite, 5, 5.42
Stillwaterite, 4.5, None
Stillwellite-(Ce), 6.5, 4.57–4.6
Stilpnomelane, 3 - 4, 2.77 - 2.96
Stishovite, 9.5[2], 4.35 (synthetic) 4.29 (calculated)
Stolzite, 2.5 - 3, 8.34
Strashimirite, 2.5 - 3, 3.67 (calculated)
Strengite, 3+1⁄2 - 4, 2.84
Strontianite, 3+1⁄2, 3.74 to 3.78 Transparent versions are heavier than the other ones
Struvite, 1.5–2, 1.7
Studenitsite, 5.5–6, 2.29
Studtite, 1 - 2, 3.58
Sturmanite, 2.5, 1.847 (measured)
Sturmanite, 2.5, 1.855 (calculated)
Stützite, 3.5, 8.0
Suanite, 5.5, 2.91
Sugilite, 6–6+1⁄2, 2.74
Sulfur, 2.0, None
Sursassite, 3, None
Susannite, 2.5 - 3, 6.55
Svanbergite, 5, 3.22
Sweetite, 3, 3.33
Switzerite, 2, None
Sylvanite, 1.5–2, 8.2
Sylvite, 2, 1.993
Synchysite-(Ce), 4.5, None
Syngenite, 2.5, 2.579–2.603
Szenicsite, 3.5 - 4, 4.26
Sapphire, 9.0, 3.98–4.06
Carnelian, 6.5 – 7.0, 2.58 - 2.64
Selenite (mineral), 2, 2.9
Selenite (mineral), 2, 2.9
Smoky quartz, 7 – lower in impure varieties (defining mineral), 2.65; variable 2.59–2.63 in impure varieties
Nitratine, 1.5 - 2, 2.26
Titanite, 5 to 5.5, 3.48 to 3.60
Stibiconite, 4-5, 4.1 - 5.8, Average = 4.94
Sunstone, 6.0–6.5, 2.64–2.66
Titanite, 5 to 5.5, 3.48 to 3.60
Tourmaline, 7.0–7.5, 3.06+0.20−0.06[1]
Turquoise, 5–6, 2.6–2.9
Taaffeite, 8–8.5, 3.60–3.61
Taenite, 5-5.5, 7.8–8.22
Taikanite, 6 to 7, None
Talc, 1 (defining mineral), 2.58 to 2.83
Talmessite, 5, 3.421,[4][5] cobaltoan varieties 3.574[5]
Tamarugite, 3, 2.07
Tangeite, 3.5, 3.75 - 3.84
Tantalite, 6-6.5, 8.0+
Tantite, 7, 8.55
Taranakite, 1–2, about 2.13
Tarbuttite, 3.5, 4.12; 4.19 (calc.)
Tausonite, 6-6.5, 4.88
Teallite, 1+1⁄2 - 2, 6.36
Tellurium, 2.25, None
Tellurobismuthite, 1.5 - 2, 7.815
Temagamite, 2.5, 9.5
Tennantite, 3 – 4.5, 4.65
Tenorite, 3.5 - 4, 6.5
Tephroite, 6, 3.87 – 4.12
Terlinguaite, 2.5, 9.22
Tetradymite, 1.5 – 2, 7.2 – 7.9
Tetrahedrite, 3+1⁄2 – 4, 4.97
Tetrataenite, 3.5, None
Thaumasite, 3.5, 1.877
Thénardite, 2.5, 2.67–2.7, average = 2.68
Thermonatrite, 1 - 1+1⁄2, 2.255 (measured on synthetic crystal)
Thomasclarkite-(Y), 2–3, 2.30
Thomsenolite, 2, None
Thomsonite, 5-5+1⁄2, 2.23 - 2.29
Thorianite, 6.5 – 7, 9.7
Thorite, 4.5 – 5, 6.63 – 7.20
Thortveitite, 5-6, 3.3-3.8
Tiemannite, 2.5, 8.19 - 8.47
Tienshanite, 6 - 6+1⁄2, None
Tin, 1.5, None
Tinaksite, 6, 2.82
Titanite, 5 to 5.5, 3.48 to 3.60
Titanium, 6.0, None
Tobermorite, 2.5, 2.423 - 2.458
Todorokite, 1+1⁄2, 3.5 to 3.8
Tokyoite, 4.5 - 5, 4.62 calculated
Tongbaite, 8.5, 6.64 calculated
Topaz, 8 (defining mineral), 3.49–3.57
Torbernite, 2 - 2.5, 3.2
Tourmaline, 7.0–7.5, 3.06+0.20−0.06[1]
Tremolite, 5 – 6, 2.99 – 3.03
Trevorite, 5, 5.164
Tridymite, 7, 2.25–2.28
Triphylite, 4–5, None
Triplite, 5 to 5.5, 3.5 - 3.9
Triploidite, 4+1⁄2 - 5, 3.70 measured
Tripuhyite, 6 - 7, 5.82
Troilite, 3.5 - 4.0, 4.67–4.79
Trona, 2.5, 2.11–2.17
Tschermakite, 5–6, 3.15
Tschermigite, 1+1⁄2 - 2, 1.645
Tsumcorite, 4+1⁄2, 5.2
Tsumebite, 3+1⁄2, 6.13
Tugtupite, 4, 2.36
Tungsten, 7.5, None
Tungstite, 2.5, 5.517
Tuperssuatsiaite, Not determined, 2.465
Turquoise, 5–6, 2.6–2.9
Tusionite, 5-6, None
Tyrrellite, 3.5, 6.6 ± 0.2
Tyuyamunite, 1+1⁄2 - 2, 3.57 - 4.35
Tanzanite, 6.5, 3.10–3.38
Thulite, 6.5, 3.10-3.38
Tsavorite, 7 – 7.5[1], 3.60–3.68[1]
Fluor-uvite, 7.5, None
Actinolite, 5–6, 3.00 (+0.10, -0.05)
Ulexite, 2.5, 1.95 – 1.96
Ullmannite, 5-5.5, 6.65 - 6.85
Ulvöspinel, 5.5 - 6.0, 4.78
Umangite, 3, 5.62 - 6.78
Umohoite, 2, None
Uraninite, 5–6, 10.63–10.95; decreases on oxidation
Uranophane, 2.5, 3.81 - 3.90
Uricite, 1-2, 1.85 (calculated)
Urusovite, 4, None
Ussingite, 6-7, None
Utahite, 4-5, 5.33
Uvarovite, 6.5–7.5, 3.77 - 3.81
Uytenbogaardtite, 2, 8.405
Vanadinite, 3–4, 6.8–7.1 (measured) 6.95 (calculated)
Vaesite, 4,5 - 5,5, 4.45
Valentinite, 2.5–3, 5.76
Valleriite, 1 - 1.5, 3.14 (measured)
Vanadinite, 3–4, 6.8–7.1 (measured) 6.95 (calculated)
Vanadium, 6.7, None
Vandenbrandeite, 4, 5.03
Vanuralite, 2, None
Variscite, 4.5, 2.57 to 2.61
Vaterite, 3, 2.54
Vauquelinite, 2.5 - 3, 6.16
Vauxite, 3.5, 2.39 to 2.40
Veatchite, 2, 2.62
Vermiculite, 1.5–2, 2.4–2.7 (0.065–0.130 when exfoliated)
Vesuvianite, 6–7, 3.32–3.43
Villiaumite, 2 - 2.5, 2.79
Vishnevite, 5 - 6, None
Vivianite, 1.5-2, 2.68
Vladimirite, 3.5, 3.17
Vlasovite, 6, 2.97
Volborthite, 3+1⁄2, 3.5 - 3.8
Vuagnatite, 6, None
Vulcanite, 1–2, 7.1
Wavellite, 3.5 - 4, 2.36
Wagnerite, 5-5.5, 3.15
Wakabayashilite, 1.5, 3.98
Wakefieldite, 4–5, 4.25 (calculated Wakefieldite-(Y)); 4.74 (meas. Wakefieldite-(Ce)
Wardite, 5, 2.81 - 2.87
Warikahnite, 2, 4.28
Warwickite, 3-4, 3.34 - 3.36
Wattersite, 4.5, 8.91
Wavellite, 3.5 - 4, 2.36
Weddellite, 4, 1.94
Weeksite, 1 - 2, 4.1
Weissite, 3, 6
Weloganite, 3+1⁄2, 3.20 - 3.22
Whewellite, 2.5-3, 2.23
Whiteite_CaFeMg, 3 to 4, 2.58
Whiteite_MnFeMg, 3 to 4, 2.67
Whiteite_CaMnMg, 3 to 4, 2.63
Whitlockite, 5, None
Willemite, 5.5, 3.9 – 4.2
Wiluite, 6, 3.36
Witherite, 3.0 - 3.5, 4.3
Wodginite, 5.5, 7.19–7.36
Wolframite, 4-4.5, 7 - 7.5
Wollastonite, 4.5 to 5.0, 2.86–3.09
Woodhouseite, 4.5, (measured): 3.012 	(calculated): 3.00
Wöhlerite, 5.5 - 6, 3.40 - 3.44
Wulfenite, 3, 6.5-7.0
Wurtzite, 3.5-4, 4.09 measured, 4.10 calculated
Wüstite, 5–5.5, 5.88
Xonotlite, 6.5, 2.70 – 2.72
Xanthiosite, 4, 5.37 - 5.47
Xanthoconite, 2.5 - 3.0, 5.54, range 5.5 - 5.6
Xanthoxenite, 2.5, 2.97 measured, 3.38 calculated
Xenotime, 4.5, 4.4–5.1
Xiangjiangite, 1 - 2, 3.47
Xifengite, 5, None
Xilingolite, 3 (calcite), 7.08
Ximengite, 4.5, 5.53
Xingzhongite, 6, 6.49
Xitieshanite, 2.5 - 3, 1.99
Xocolatlite, 2-3, 4.10 g/cc
Xocomecatlite, 4, 4.65
Xonotlite, 6.5, 2.70 – 2.72
Yugawaralite, 4.5-5, None
Yingjiangite, 3 - 4, 4.15
Yugawaralite, 4.5-5, None
Yuksporite, 4+1⁄2 to 5, 3.05
Yttrocerite, 4-5, None
Columbite, 6, 5.3–7.3, Average = 6.3
