Azurite, 3.5 to 4, 3.773 (measured), 3.78 (calculated)
Agate, 6.5–7, 2.58–2.64
Chrysoberyl, 8.5, 3.5–3.84
Amazonite, 6-6.5, 2.56-2.58
Amethyst, 7–lower in impure varieties, 2.65 constant; variable in impure varieties
Ametrine, 7, 2.65
Ammolite, 3.5 - 4.5, usually about 2.70 (varies with mineral content)[1]
Grunerite, 5 - 6, 3.45
Beryl, 7.5 – 8, 2.63 - 2.92
Asbestos, 2.5.6.0, 2.4–3.3
Illite, 1 - 2, 2.6 - 2.9
Baryte, 3-3.5, 4.3–5
Benstonite, 3–4, None
Biotite, 2.5–3.0, 2.7–3.3[2]
Brookite, 5+1⁄2 to 6, 4.08 to 4.18
Babefphite, 3.5, 4.31
Babingtonite, 5.5 to 6, 3.3
Baddeleyite, 6.5, 5.5–6
Bakerite, 4+1⁄2, 2.88
Banalsite, 6.5, 3.065
Bannisterite, 4, 2.83 - 2.84
Baotite, 6, None
Bararite, 2.5, 2.152 (synthetic)
Baratovite, 5 - 6, 2.92
Barrerite, 3 - 4, 2.13
Barstowite, 3, None
Baryte, 3-3.5, 4.3–5
Barytocalcite, 4, 3.64 to 3.71
Bastnäsite, 4–5, 4.95–5.0
Baumhauerite, 3, 5.33
Bavenite, 5.5, None
Bayldonite, 4+1⁄2, None
Bayleyite, 2 - 2.5, 2.05
Bazzite, 6.5 - 7, 2.77 - 2.85
Becquerelite, 2.5, 5.09 - 5.2
Benitoite, 6 - 6.5, 3.65
Benstonite, 3–4, None
Bentorite, 2, 2.025
Beraunite, 3-4, 2.8 - 3.08 (measured); 2.894 (calculated)
Berborite, 3, None
Bergenite, 2–3, None
Berlinite, 6.5, 2.64–2.66
Berryite, 3½, 6.7
Berthierite, 2-3, 4.64
Bertrandite, 6 - 7, 2.59 - 2.60
Beryl, 7.5 – 8, 2.63 - 2.92
Beryllonite, 5.5 - 6, 2.8
Beudantite, 3.5-4.5, 4.48
Bicchulite, 2.5, 2.813 (synthetic)
Bilibinskite, 4.5 - 5, None
Bílinite, 2, 1.87
Billwiseite, 5, 6.33
Biotite, 2.5–3.0, 2.7–3.3[2]
Birnessite, 1.5, 3.0
Bischofite, 1.5–2, 1.56
Bismuth, 2.25, None
Bismuthinite, 2, 6.8 - 7.2
Bismutite, 2.5 - 3.5, 6.7 - 7.4 measured, 8.15 calculated
Bityite, 3, 5.5
Bixbyite, 6 - 6+1⁄2, 5.12
Blödite, 2.5 - 3, 2.23
Bobfergusonite, 4, None
Boehmite, 3.5, 3.02 - 3.05
Boleite, 3.0 – 3.5, 5.054
Boltwoodite, 3.5 - 4, 4.7
Boracite, 7 - 7.5, 2.95
Bornite, 3–3.25, 5.06–5.08
Botallackite, Soft, 3.6
Botryogen, 2 - 2.5, 2.14
Boulangerite, 2.5 - 3, None
Bournonite, 2.5 - 3.0, 5.7 - 5.9
Boussingaultite, 2, 1.73
Braggite, 1.5, 10 (measured) 9.383 (calculated)
Braunite, 6-6+1⁄2, 4.72 - 4.83
Brazilianite, 5.5, 2.98
Breithauptite, 5.5, 7.591–8.23 measured; 8.629 calculated
Brezinaite, 3.5-4.5, 4.12
Brianite, 4-5, 3.0-3.1
Brianyoungite, 2 to 2.5, 3.93 to 4.09
Briartite, 3½ - 4½, 4.337 (Calculated)
Brochantite, 3.5 - 4.0, 3.97
Brockite, 3 - 4, 3.9 (measured)
Bromargyrite, 2+1⁄2, 6.474
Bromellite, 9, 3.02
Brookite, 5+1⁄2 to 6, 4.08 to 4.18
Brucite, 2.5 to 3, 2.39 to 2.40
Brushite, 2.5, 2.328
Buddingtonite, 5.5, 2.32
Bukovite, 2, 7.40 (calculated)
Bultfonteinite, 4.5, None
Bunsenite, 5.5, 6.898
Bustamite, 5.5 to 6.5, 3.32 to 3.43 (observed) 3.40 (calculated)
Bystrite, 5, 2.43
Barbertonite, 1+1⁄2-2, 2.05 - 2.15
Red beryl, 7.5-8, None
Brammallite, 2+1⁄2 - 3, 2.83 - 2.88
Brokenhillite, 4-5, None
Fluor-buergerite, 7, 3.31
Bursaite, 2.5 - 3, None
Bytownite, 6 – 6.5, 2.72 – 2.74
Calcite, 3 (defining mineral), 2.71
Calcite, 3 (defining mineral), 2.71
Celestine (mineral), 3.0–3.5, 3.95–3.97
Chrysocolla, 2.5–3.5 (7 for chrysocolla chalcedony, high-silica content), 1.9–2.4
Cinnabar, 2.0–2.5, 8.176
Cabalzarite, 5, 3.89
Cabriite, 4-4.5, None
Cacoxenite, 3-4, 2.2 - 2.6
Cadmium, 2.0, None
Cafarsite, 5+1⁄2 - 6, 3.9
Cafetite, 4-5, 3.28
Cahnite, 3, None
Calaverite, 2.5-3, 9.1–9.3
Calciborite, 3.5, 2.878
Calcite, 3 (defining mineral), 2.71
Calderite, 6.5-7.5, 3.756
Caledonite, 2.5 - 3, 5.6 - 5.8
Calomel, 1.5, 7.5
Calumetite, 2, None
Canasite, 5 - 6, 2.707
Cancrinite, 5–6, 2.42 – 2.51
Canfieldite, 2+1⁄2, None
Carletonite, 4 - 4+1⁄2, 2.45
Carlosruizite, 2.5 - 3, 3.42
Carlsbergite, 7, 5.9
Carminite, 3+1⁄2, 5.03 - 5.18
Carnallite, 2.5, 1.6
Carnotite, 2, 4.70
Carobbiite, 2-2.5, 2.505
Carpathite, 1.5, 1.35
Carpholite, 5.5-6, 2.935-3.031
Carrollite, 4.5 to 5.5, 4.5 to 4.8 measured, 4.83 calculated
Cassiterite, 6–7, 6.98–7.1
Cattierite, 4, 4.82
Cavansite, 3 - 4, 2.25 - 2.33
Celadonite, 2, 2.95 - 3.05
Celestine (mineral), 3.0–3.5, 3.95–3.97
Celsian, 6–6.5, 3.10 to 3.39
Cerite, 5 to 5.5, 4.7 to 4.86
Cerium, 2.5, None
Cerussite, 3 to 3.5, 6.53–6.57
Cervantite, 4–5, 6.5
Cesanite, 2-3, 2.96-3.02
Cesbronite, 3, 4.45 (measured)
Chabazite, 4-5, 2.05 - 2.2
Chaidamuite, 2.5–3, None
Chalcanthite, 2.5, 2.12 - 2.3
Chalcocite, 2+1⁄2–3, 5.5–5.8
Chalconatronite, 1 to 2, 2.27
Chalcophyllite, 2, 2.67 to 2.69[3][4][6] or 2.4 to 2.66[5]
Chalcopyrite, 3.5–4, 4.1–4.3
Challacolloite, 2-3, 4.77 (Calculated)
Chambersite, 7, 3.49
Chamosite, 3, None
Changbaiite, 5.5, None
Chaoite, 1 - 2, 3.43 (calculated)
Chapmanite, 2.5, 3.69-3.75
Charlesite, 2.5, None
Charoite, 5 - 6, 2.54 - 2.58
Chatkalite, 4.5, 5.00 (calculated)
Chesterite, 2-2.5, 3.23
Chibaite, 7, 1.933
Childrenite, 5, 3.11 - 3.19
Chiolite, 2.5, 2.998
Chlorargyrite, 1.5 - 2.5, 5.556
Chlorite group, 2–2.5, 2.6–3.3
Chloritoid, 6.5, 3.46 – 3.80
Chlorocalcite, 2.5-3, None
Chloroxiphite, 2+1⁄2, 6.76 - 6.93
